"slot","file_name","mag_pct","rotate_cw","shift_x_pct","shift_y_pct","shift_x_px","shift_y_px","img_w","img_h","S0","crop_side_px","crop_left","crop_top","use_cropped","file_name_bak","mag_pct_bak","rotate_cw_bak","shift_x_pct_bak","shift_y_pct_bak","shift_x_px_bak","shift_y_px_bak","img_w_bak","img_h_bak","S0_bak","crop_side_px_bak","crop_left_bak","crop_top_bak","use_cropped_bak"
"0801","demos/0801.jpg",100,0,0,0,0,0,NA,NA,NA,NA,NA,NA,FALSE,"demos/0801.jpg",100,0,0,0,0,0,NA,NA,NA,NA,NA,NA,FALSE
"0802","demos/0802.jpg",100,0,0,0,0,0,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0803","demos/0803.jpg",100,0,0,0,0,0,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0804","demos/0804.jpg",100,0,0,0,0,0,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0805","demos/0805.jpg",100,0,0,0,0,0,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0806","demos/0806.jpg",100,0,0,0,0,0,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0807","demos/0807.jpg",100,0,0,0,0,0,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0808","demos/0808.jpg",100,0,0,0,0,0,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0809","demos/0809.jpg",100,0,0,0,0,0,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0810","demos/0810.jpg",100,0,0,0,0,0,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0811","demos/0811.jpg",100,0,0,0,0,0,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0812","demos/0812.jpg",100,0,0,0,0,0,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0901","demos/0901.jpg",100,0,0,0,0,0,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0902","demos/0902.jpg",100,0,0,0,0,0,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0903","demos/0903.jpg",100,0,0,0,0,0,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0904","demos/0904.jpg",100,0,0,0,0,0,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0905","demos/0905.jpg",100,0,0,0,0,0,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0906","demos/0906.jpg",100,0,0,0,0,0,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0907","demos/0907.jpg",100,0,0,0,0,0,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0908","demos/0908.jpg",100,0,0,0,0,0,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0909","demos/0909.jpg",100,0,0,0,0,0,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0910","demos/0910.jpg",100,0,0,0,0,0,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
